약물구분,ATC코드,ATC코드명,시도명칭,시군구명칭,기간_dt,연도,월,수량,금액,처방량_per_capita,금액_per_capita,총거주자수,세대수,세대당인구,남여비율,고령인구비율,남자인구수,여자인구수,고령인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세이상
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-10-01,2025,10,36098,553506103,0.06571229889284115,1007.5948384771377,549334.0,240425.0,2.28,0.91,0.22700943324097908,262391.0,286943.0,124704,32017,63995,63327,79940,98637,86714,62291,42884,16821,2628,80
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2025-10-01,2025,10,20781,297139708,0.04185321466765756,598.4433850733403,496521.0,220462.0,2.25,0.95,0.2667661589338618,241916.0,254605.0,132455,32254,43469,55993,77150,80619,74581,71738,43123,15135,2392,67
A10A,A10A,INSULINS AND ANALOGUES,서울,강북구,2025-10-01,2025,10,3889,55609207,0.014012192661343787,200.36176966535035,277544.0,140794.0,1.97,0.93,0.3499769405932032,133409.0,144135.0,97134,9682,17899,34511,34089,36121,48108,47186,31860,16112,1939,37
A10A,A10A,INSULINS AND ANALOGUES,서울,강서구,2025-10-01,2025,10,14785,199104535,0.027024161812309565,363.92513841086594,547103.0,271142.0,2.02,0.91,0.274390745435503,261319.0,285784.0,150120,26902,40069,72139,95704,81442,80727,78484,49073,19350,3125,88
A10A,A10A,INSULINS AND ANALOGUES,서울,관악구,2025-10-01,2025,10,4290,63324133,0.009031921209645839,133.31901629956505,474982.0,286091.0,1.66,1.01,0.2552412512474157,238765.0,236217.0,121235,14024,23735,101747,92902,57458,63881,59550,40647,18807,2190,41
A10A,A10A,INSULINS AND ANALOGUES,서울,광진구,2025-10-01,2025,10,13401,223375800,0.04067602145348255,678.0120015662135,329457.0,169520.0,1.94,0.92,0.2580640265649235,157621.0,171836.0,85021,13562,22853,55339,56435,45607,50640,45394,26094,11752,1744,37
A10A,A10A,INSULINS AND ANALOGUES,서울,구로구,2025-10-01,2025,10,15446,227831288,0.040322559592336465,594.7650322011377,383061.0,183121.0,2.09,0.96,0.2978246284534317,187219.0,195842.0,114085,19737,27133,46393,61074,54832,59807,57771,38209,15967,2096,42
A10A,A10A,INSULINS AND ANALOGUES,서울,금천구,2025-10-01,2025,10,2276,33109509,0.010236160270565642,148.9078385780912,222349.0,120559.0,1.84,1.01,0.30657210061659823,111535.0,110814.0,68166,8435,12040,32031,39264,27460,34953,36746,21126,9089,1178,27
A10A,A10A,INSULINS AND ANALOGUES,서울,노원구,2025-10-01,2025,10,22697,383722378,0.046987437997366696,794.3839029156765,483044.0,215709.0,2.24,0.92,0.2906381199228228,231145.0,251899.0,140391,23118,44402,61702,60758,68917,83756,72087,44196,20665,3352,91
A10A,A10A,INSULINS AND ANALOGUES,서울,도봉구,2025-10-01,2025,10,6288,100975742,0.021045867137922725,337.9647026534929,298776.0,137831.0,2.17,0.93,0.3466476557688703,144162.0,154614.0,103570,11961,21229,33660,37077,39464,51815,52766,32672,15813,2249,70
A10A,A10A,INSULINS AND ANALOGUES,서울,동대문구,2025-10-01,2025,10,15568,247102434,0.04549958060188744,722.1902050812931,342157.0,174256.0,1.96,0.95,0.27994458684171303,166780.0,175377.0,95785,17306,22659,55142,52612,47095,51558,48071,30646,15002,2011,55
A10A,A10A,INSULINS AND ANALOGUES,서울,동작구,2025-10-01,2025,10,15468,230676277,0.041735695513979355,622.4098047045745,370618.0,185517.0,2.0,0.93,0.2695605718016934,178785.0,191833.0,99904,17507,25006,60311,61118,50949,55823,49603,32596,15449,2203,53
A10A,A10A,INSULINS AND ANALOGUES,서울,마포구,2025-10-01,2025,10,3240,53499363,0.009114334259769779,150.49724600825917,355484.0,178382.0,1.99,0.87,0.23333258318236544,164986.0,190498.0,82946,18361,25712,55046,64252,54104,55063,42129,25061,13608,2106,42
A10A,A10A,INSULINS AND ANALOGUES,서울,서대문구,2025-10-01,2025,10,26685,388126714,0.08941076346773708,1300.4574038210244,298454.0,144710.0,2.06,0.9,0.27642115702922393,141064.0,157390.0,82499,15328,21674,45253,44600,41916,47184,41257,25267,13876,2046,53
A10A,A10A,INSULINS AND ANALOGUES,서울,서초구,2025-10-01,2025,10,14312,224363140,0.03498778898784277,548.4886947295854,409057.0,170526.0,2.4,0.9,0.23246393534397405,194302.0,214755.0,95091,26333,45273,48012,57163,70376,66809,47713,31821,13392,2108,57
A10A,A10A,INSULINS AND ANALOGUES,서울,성동구,2025-10-01,2025,10,5345,84161248,0.019625842222181424,309.02439185591805,272345.0,131667.0,2.07,0.93,0.2653472617452129,131490.0,140855.0,72266,15629,17206,38073,47622,39215,42334,37942,21921,10840,1531,32
A10A,A10A,INSULINS AND ANALOGUES,서울,성북구,2025-10-01,2025,10,11217,197525356,0.026641870274969184,469.1490514905149,421029.0,197352.0,2.13,0.91,0.2757387258359875,201153.0,219876.0,116094,21617,33920,62895,56661,59644,70198,58180,36617,18565,2668,64
A10A,A10A,INSULINS AND ANALOGUES,서울,송파구,2025-10-01,2025,10,34201,502383794,0.05337076459967635,783.971439673293,640819.0,283767.0,2.26,0.92,0.25197442647611884,306837.0,333982.0,161470,39529,56717,76975,105509,103088,97531,86947,52395,18928,3120,80
A10A,A10A,INSULINS AND ANALOGUES,서울,양천구,2025-10-01,2025,10,8831,143878699,0.020833824826954925,339.43422163924527,423878.0,178221.0,2.38,0.95,0.2713233524740609,206231.0,217647.0,115008,22775,46228,47271,51721,69110,71765,61877,36954,13965,2148,64
A10A,A10A,INSULINS AND ANALOGUES,서울,영등포구,2025-10-01,2025,10,12689,193047922,0.03438492472115937,523.1254051183108,369028.0,190457.0,1.94,0.95,0.25784764299727936,180023.0,189005.0,95153,19869,22281,53188,73565,51720,53252,48412,30272,14285,2133,51
A10A,A10A,INSULINS AND ANALOGUES,서울,용산구,2025-10-01,2025,10,4793,70450005,0.02403265191514112,353.24440800854404,199437.0,101046.0,1.97,0.91,0.2690222977682175,94965.0,104472.0,53653,9888,12541,26638,36973,28522,31222,27707,15808,8562,1529,47
A10A,A10A,INSULINS AND ANALOGUES,서울,은평구,2025-10-01,2025,10,8623,129576182,0.018998622968879098,285.48869622693474,453875.0,212883.0,2.13,0.9,0.299245386945745,214600.0,239275.0,135820,20636,33697,56491,66414,64699,76118,68406,43326,21158,2871,59
A10A,A10A,INSULINS AND ANALOGUES,서울,종로구,2025-10-01,2025,10,34044,516822189,0.2507088098622147,3806.012099476401,135791.0,71209.0,1.91,0.92,0.3010582439189637,65063.0,70728.0,40881,5147,9236,20293,19698,18058,22478,20566,12287,6830,1166,32
A10A,A10A,INSULINS AND ANALOGUES,서울,중구,2025-10-01,2025,10,3097,45072562,0.026486611304489125,385.4760833682554,116927.0,63064.0,1.85,0.92,0.3046345155524387,56082.0,60845.0,35620,4999,5788,15839,21102,15962,17617,17643,11223,5761,975,18
A10A,A10A,INSULINS AND ANALOGUES,서울,중랑구,2025-10-01,2025,10,7695,120929070,0.020508733868861373,322.300469608695,375206.0,187571.0,2.0,0.95,0.3191127007563845,183154.0,192052.0,119733,16780,23077,45174,58305,50650,61487,63691,37437,16324,2225,56
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-09-01,2025,9,38124,585145935,0.06940040121310533,1065.191550131614,549334.0,240425.0,2.28,0.91,0.22700943324097908,262391.0,286943.0,124704,32017,63995,63327,79940,98637,86714,62291,42884,16821,2628,80
