약물구분,ATC코드,ATC코드명,시도명칭,시군구명칭,기간_dt,수량,금액
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2023-10-01,34428,524389835
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2023-11-01,41946,631202635
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2023-12-01,35364,551882104
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-01-01,39015,595314214
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-02-01,37368,570443611
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-03-01,37788,579981928
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-04-01,38622,598284617
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-05-01,36742,574240962
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-06-01,34280,532904942
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-07-01,41530,644530331
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-08-01,40801,677246369
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-09-01,31522,486555120
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-10-01,39855,624068815
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-11-01,36518,560182976
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2024-12-01,37456,577736069
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-01-01,33036,513393897
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-02-01,40695,623939904
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-03-01,37371,569099561
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-04-01,40766,623245047
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-05-01,35819,560703229
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-06-01,36584,562299803
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-07-01,40416,624505271
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-08-01,39914,607625708
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-09-01,38124,585145935
A10A,A10A,INSULINS AND ANALOGUES,서울,강남구,2025-10-01,36098,553506103
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2023-10-01,19495,242332974
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2023-11-01,21034,276676292
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2023-12-01,20802,275400022
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-01-01,22245,292154618
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-02-01,20081,264501080
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-03-01,16025,206629309
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-04-01,16253,204176896
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-05-01,10648,154968114
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-06-01,3831,55891233
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-07-01,4487,65442781
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-08-01,4205,61071864
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-09-01,4167,62041597
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-10-01,4452,65780444
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-11-01,3688,55784008
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2024-12-01,5081,73557573
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2025-01-01,19434,270054609
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2025-02-01,21713,300615498
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2025-03-01,22874,318049062
A10A,A10A,INSULINS AND ANALOGUES,서울,강동구,2025-04-01,22963,321382923
