모델,구분,범위,MAE,RMSE,MAPE,R2
XGBoost,기본,전체,96656.85212931315,175124.81079897683,23.42914338719628,0.9824260838835145
XGBoost,튜닝,전체,93655.97663045247,173670.91977413394,12.080101701881821,0.9827166709005509
XGBoost,기본,A10A,2870.8071752929686,3771.335063119151,38.44819075525996,0.8652619003640398
XGBoost,튜닝,A10A,1835.739510904948,2606.9576540316943,16.12343605112619,0.9356174559695523
XGBoost,기본,A10B,190442.89708333334,247635.16661935666,8.410096019132602,0.9276033741350509
XGBoost,튜닝,A10B,185476.21375,245593.93421291458,8.03676735263745,0.9287919716970247
LightGBM,기본,전체,100252.8554891345,176078.91567731232,37.47366692948624,0.9822340718607733
LightGBM,튜닝,전체,96627.5125361515,170203.62566656223,25.466090819221726,0.9833998961404008
LightGBM,기본,A10A,6269.4177752523165,8904.289241559878,66.15611625554007,0.24889838155571298
LightGBM,튜닝,A10A,3458.3041094508676,5007.589997717377,42.55179677504282,0.762448538590551
LightGBM,기본,A10B,194236.29320301666,248853.93853684285,8.791217603432433,0.92688899978943
LightGBM,튜닝,A10B,189796.72096285212,240652.1814206163,8.380384863400641,0.9316287856187134
